q,x_q
0.089,5.039797555115731
0.09,5.04195083912832
0.091,5.044361488380641
0.092,5.046293621392331
0.093,5.048454923374314
0.094,5.0503186793032775
0.095,5.052705274484639
0.096,5.055632425880201
0.097,5.057656259162906
0.098,5.060057514207631
0.099,5.062320837546858
0.1,5.064085757534974
0.101,5.06613696091174
0.102,5.0681025466389285
0.103,5.069965627169637
0.104,5.0720186412357995
0.105,5.074145132827698
0.106,5.075940541434463
0.107,5.078151414310894
0.108,5.080233908338356
0.109,5.081938835684927
0.11,5.083649157654233
0.111,5.085467085065593
0.112,5.087127714524464
0.113,5.08908460007584
0.114,5.090956763362225
0.115,5.0927113159128705
0.116,5.094415900888031
0.117,5.096246567045269
0.118,5.0982592987449
0.119,5.100172731920895
0.12,5.102258947002811
0.121,5.104103711799841
0.122,5.105781571780281
0.123,5.107908854251518
0.124,5.110075448804936
0.125,5.112099930237942
0.126,5.1139119879305674
0.127,5.115784863752546
0.128,5.117740906067269
0.129,5.119426471962639
0.13,5.121167174583555
0.131,5.123021251532598
0.132,5.124751096126658
0.133,5.126720442373744
0.134,5.128631268374071
0.135,5.1303801525038715
0.136,5.13216785928253
0.137,5.134119215470947
0.138,5.135734386565294
0.139,5.137491386758674
0.14,5.139431991587548
0.141,5.141397449935183
0.142,5.143267611997777
0.143,5.145150561380366
0.144,5.146788737776088
0.145,5.148524185733115
0.146,5.150177824749445
0.147,5.151773484503875
0.148,5.153534567200703
0.149,5.154808336617163
0.15,5.156456469365114
0.151,5.157968868378861
0.152,5.159748358268314
0.153,5.161333397254376
0.154,5.162957973454567
0.155,5.164509085930924
0.156,5.166022361160502
0.157,5.16762612160351
0.158,5.169447120130946
0.159,5.171181626012448
0.16,5.172756648059504
0.161,5.174295748034199
0.162,5.176045519567351
0.163,5.177377905276844
0.164,5.179059623314494
0.165,5.180599030366562
0.166,5.182173148700079
0.167,5.183656920355129
0.168,5.185381955902705
0.169,5.1868523198960315
0.17,5.188464793636144
0.171,5.190120625339463
0.172,5.191713541084979
0.173,5.19390835549966
0.174,5.195652636661413
0.175,5.197108398755033
0.176,5.1984379223359785
0.177,5.19976633792746
0.178,5.201300229046949
0.179,5.202684106256433
0.18,5.204592423534522
0.181,5.206163146031308
0.182,5.207996637287958
0.183,5.209368416664028
0.184,5.210795562710074
0.185,5.21225310762304
0.186,5.213618676819264
0.187,5.215227906849123
0.188,5.216832042779221
0.189,5.218378854689733
0.19,5.2196931511126
0.191,5.220939614928161
0.192,5.22228229300811
0.193,5.223735137149504
0.194,5.225232440369598
0.195,5.22668631519418
0.196,5.2281509321423725
0.197,5.229745384675872
0.198,5.231321149614773
0.199,5.232867994899301
0.2,5.234246572539959
0.201,5.235956799703013
0.202,5.237335363236475
0.203,5.2389069507156165
0.204,5.2402728206931695
0.205,5.2417590913875145
0.206,5.243019237001102
0.207,5.244438691001003
0.208,5.245808810623219
0.209,5.247145815657154
0.21,5.248481473673118
0.211,5.249941683755223
0.212,5.251459501146589
0.213,5.253231242114943
0.214,5.254731968497611
0.215,5.2563567200101815
0.216,5.257967842333509
0.217,5.259412429425962
0.218,5.260740041431557
0.219,5.262072058720081
0.22,5.263321180162331
0.221,5.2647177798972455
0.222,5.266284471475859
0.223,5.26769982352026
0.224,5.269142105360064
0.225,5.2706611891499495
0.226,5.2718931212701055
0.227,5.273209737923782
0.228,5.274550168216898
0.229,5.276098547237784
0.23,5.277448640323202
0.231,5.278661442533821
0.232,5.280017244292999
0.233,5.281576263885029
0.234,5.282915974784508
